career,skills
Machine Learning Engineer,rest api | pytorch | cloud | spark | statistics | kubernetes | machine learning | scikit-learn | numpy | linux | deep learning | mlops | data pipelines | tensorflow | model evaluation | pandas | feature engineering
PHP Developer,linux | git | eloquent orm | javascript | vue.js | html | wordpress | queue jobs | redis | mysql | rest api | laravel | caching | composer | phpunit | php
Prompt Engineer,llms | few-shot learning | prompt engineering | chain-of-thought | communication | data analysis | rag | api integration | model selection | evaluation frameworks | documentation | fine tuning | bias mitigation | context management | langchain | output parsing | workflow automation
Swift Developer,swift | accessibility | combine | package manager | in-app purchase | core data | git | push notifications | cloudkit | ios development | rest api | instruments | localization | macos development | testing | xcode | objective-c | swiftui
Site Reliability Engineer (SRE),capacity planning | slo/sla | incident management | automation | on-call | python | kubernetes | grafana | distributed systems | git | prometheus | linux | docker | bash | cloud | runbooks | monitoring
Computer Hardware Engineer,i2c | spi | uart | pcie | computer architecture | hardware debugging | microprocessors | cpu architecture | verilog | hardware testing | usb | fpga | digital electronics | memory systems | microcontrollers | pcb design | linux
Technical Writer,technical writing | version control | xml | html | content strategy | documentation | user manuals | api documentation | knowledge base | release notes | dita | research skills | communication | style guides | editing | markdown | git | collaboration tools
React Native Developer,native modules | rest api | redux | animations | typescript | asyncstorage | git | app store deployment | deep linking | javascript | react native | performance optimization | firebase | push notifications | expo | testing | react
Automation Engineer,cucumber | jenkins | robot framework | test frameworks | java | docker | python | ci/cd | selenium | monitoring | reporting | testing | ansible | performance testing | agile | bash
Business Intelligence Developer,ssrs | excel | reporting | python | etl | data governance | sap bi | tableau | dax | mdx | data quality | data modeling | looker | azure synapse | data warehousing
AI Engineer,hugging face | linux | fastapi | pytorch | mlops | transformers | docker | langchain | rag | prompt engineering | nlp | llms | fine tuning | deep learning | openai api | cloud | machine learning | vector databases
SOC Analyst,firewalls | wireshark | threat intelligence | ticketing systems | communication | linux | cloud security | log analysis | networking | forensics | incident response | osint | edr | siem | python | security fundamentals | ioc analysis | vulnerability scanning
Technical Project Manager,leadership | resource planning | communication | jira | risk management | stakeholder management | technical background | budgeting | schedule management | project management | waterfall | confluence | issue tracking | quality assurance | scope management
Electrical Engineer,matlab | generators | power electronics | testing and maintenance | power systems | motors | electrical wiring | electrical safety | circuit analysis | control systems | scada | instrumentation | autocad electrical | transformers | renewable energy
Backend Developer,microservices | mongodb | kafka | sql | node.js | rest api | authentication | redis | system design | spring boot | java | python | caching | docker | git | linux | postgresql | websockets
Computer Hardware Engineer,circuit design | memory systems | linux | verilog | spi | pcb design | digital electronics | pcie | computer architecture | usb | hardware debugging | hardware testing | microcontrollers | embedded systems | i2c | bus architecture | uart | cpu architecture
Kubernetes Engineer,performance tuning | storage | python | networking | linux | service mesh | ci/cd | monitoring | helm | cloud | kubernetes | bash | docker | terraform | operators
AI Safety Engineer,red teaming | deep learning | llms | safety engineering | research | alignment research | reinforcement learning | policy understanding | python | communication | mathematics | ethics | documentation | robustness testing | interpretability | testing | stakeholder engagement
ERP Developer,alv reports | erp systems | sap fiori | debugging | rest api | change management | sap | java | abap | odata | integration | user training | sap modules | testing | business processes | smart forms
Java Developer,hibernate | sql | java | design patterns | redis | rest api | reactive programming | multithreading | cloud | docker | kubernetes | gradle | git | spring security | maven | kafka
Cloud Security Engineer,iam | threat detection | devsecops | terraform | networking | python | security fundamentals | linux | compliance | security automation | cspm | casb | cloud security | siem | cloud | container security
Java Developer,java | docker | sql | cloud | kafka | redis | kubernetes | design patterns | microservices | multithreading | spring boot | hibernate | rest api | gradle | junit
Computer Vision Engineer,3d vision | opencv | ros | deep learning | image processing | gans | point cloud | pytorch | image segmentation | transfer learning | tensorflow | mathematics | data augmentation | cuda | object detection | cnns
Cloud Security Engineer,networking | zero trust | security automation | threat detection | cloud security | dlp | security fundamentals | incident response | cloud | siem | compliance | cspm | container security | devsecops | encryption | terraform
Rust Developer,documentation | testing | git | webassembly | networking | api design | concurrency | linux | cross-platform development | cryptography | rust | cargo | performance optimization | async programming | cli development | safety programming
Business Intelligence Developer,data modeling | mdx | power bi | excel | tableau | reporting | looker | ssrs | sap bi | qlikview | data governance | python | data warehousing | dax | olap | data quality | sql
Rust Developer,concurrency | cargo | memory management | api design | performance optimization | documentation | c/c++ | webassembly | git | embedded systems | cross-platform development | async programming | systems programming | cli development | networking | testing | linux
Cloud Engineer,networking | python | cost optimization | monitoring | cloud | linux | multi-cloud | vpc | cloud security | dns | serverless | docker | ansible | kubernetes | load balancing | cdn | terraform
Go Developer,rest api | sql | message queues | ci/cd | git | redis | cloud | monitoring | microservices | bash | grpc | linux | kubernetes | concurrency | networking | performance optimization
Prompt Engineer,langchain | chain-of-thought | output parsing | fine tuning | context management | model selection | rag | a/b testing | nlp | workflow automation | bias mitigation | api integration | prompt engineering | few-shot learning | llms | communication | documentation
Data Governance Analyst,business acumen | sql | metadata management | power bi | communication | data lineage | data quality | gdpr | data stewardship | data policies | data architecture | risk management | documentation | data governance | excel | master data management
VLSI Engineer,semiconductor design | clock tree synthesis | systemverilog | logic synthesis | design verification | synopsys | floorplanning | placement | verilog | cadence | digital electronics | vhdl | dft | rtl design | physical design
AR/VR Developer,oculus sdk | haptics | 3d modeling | 3d audio | animation | ux for xr | openxr | hololens sdk | unreal engine | arkit/arcore | spatial computing | c# | shader programming | gesture recognition | performance optimization
.NET Developer,linq | blazor | grpc | .net | kubernetes | c# | microservices | unit testing | azure | asp.net | ci/cd | entity framework | dependency injection | rest api | git | design patterns | sql | wpf
IT Auditor,internal controls | cobit | security fundamentals | communication | networking | cloud | gdpr | sox | business processes | compliance | it audit | documentation | stakeholder management | itil | risk management
ERP Developer,odata | sql | abap | change management | integration | sap modules | smart forms | testing | debugging | rest api | sap fiori | business processes | erp systems | documentation | bapi/rfc | alv reports | cloud
AR/VR Developer,gesture recognition | animation | c# | 3d modeling | unreal engine | openxr | ux for xr | performance optimization | hololens sdk | webxr | physics simulation | computer vision | xr development | shader programming | spatial computing | arkit/arcore
R Developer,reproducible research | statistics | reporting | sql | bioinformatics | data visualization | statistical modeling | r | shiny | git | data analysis | machine learning | excel | tidyverse | ggplot2 | r markdown | dplyr
AWS Solutions Architect,cost optimization | serverless | terraform | python | disaster recovery | aws | cloud architecture | docker | ecs/eks | kubernetes | rds | high availability | lambda | s3 | networking | well-architected framework
Python Developer,flask | fastapi | sqlalchemy | linux | cloud | numpy | git | postgresql | testing | python | redis | pydantic | celery | rest api | pytest | pandas | django | sql
Graphic Designer,adobe photoshop | photography | brand identity | presentation design | digital marketing | layout design | typography | icon design | motion graphics | packaging design | print design | figma | adobe illustrator | adobe after effects | logo design | illustration | adobe indesign | social media design
Product Designer,stakeholder management | invision | html/css | accessibility | competitive analysis | communication | design sprints | figma | sketch | user flows | product strategy | ui design | metrics | data analysis | motion design | prototyping | ux research | user journey mapping
Fullstack Developer,typescript | docker | cloud | authentication | html | linux | javascript | rest api | ci/cd | redis | mongodb | css | node.js | react | next.js
Android Developer,google play deployment | dagger/hilt | mvvm architecture | navigation component | java | testing | workmanager | firebase | rest api | coroutines | material design | git | proguard | kotlin | ci/cd | jetpack compose | android sdk
Network Security Engineer,zero trust | vpn | linux | ids/ips | network security | pki | cloud security | packet analysis | siem | networking | security policies | nac | cryptography | python | firewalls | identity management
Firmware Engineer,gpio | debugging | embedded c | c++ | c | microcontrollers | rtos | hardware interfaces | uart | memory management | interrupts | can | embedded linux | git | device drivers | i2c | timers
Cloud Data Engineer,sql | git | ci/cd | spark | terraform | bigquery | snowflake | delta lake | monitoring | data quality | airflow | python | cloud | docker | data pipelines | redshift | kafka
Data Engineer,data warehousing | etl | redshift | git | apache kafka | sql | python | nosql | snowflake | linux | apache airflow | docker | dbt | bigquery | data pipelines
Blockchain Developer,git | web3.js | ethereum | defi | javascript | nfts | rust | tokenomics | layer 2 solutions | python | truffle | ethers.js | smart contracts | cryptography | hardhat | ipfs | solidity | security auditing
Cloud Data Engineer,data pipelines | sql | git | dbt | snowflake | redshift | data warehousing | data quality | terraform | cloud | bigquery | kafka | docker | monitoring | etl | delta lake | ci/cd
Computer Hardware Engineer,linux | verilog | microprocessors | hardware testing | spi | bus architecture | computer architecture | digital electronics | embedded systems | pcie | memory systems | microcontrollers | uart | pcb design | i2c | cpu architecture | usb | hardware debugging
Ruby Developer,rest api | authentication | testing | docker | html | linux | javascript | rspec | mvc architecture | css | cloud | sql | redis | ruby on rails | postgresql | ruby | sidekiq
Network Security Engineer,siem | linux | packet analysis | network security | ddos mitigation | ids/ips | compliance | identity management | security policies | zero trust | vpn | cloud security | nac | pki | networking | threat modeling
Technical Project Manager,contract management | quality assurance | schedule management | stakeholder management | budgeting | reporting | waterfall | communication | jira | agile | change management | ms project | technical background | risk management | resource planning | scope management | issue tracking | leadership
Kubernetes Engineer,monitoring | cloud | security | performance tuning | kubernetes | networking | storage | argocd | service mesh | bash | terraform | istio | gitops | helm | cluster management | operators
Systems Administrator,cloud | powershell | dns | windows server | email servers | linux | nfs/smb | hyper-v | active directory | bash | networking | security | patch management | capacity planning | dhcp | vmware
Enterprise Architect,system design | technology roadmap | security | governance | solution design | stakeholder management | communication | data architecture | enterprise architecture | change management | digital transformation | vendor management | togaf | cloud | integration patterns | business strategy
Computer Hardware Engineer,bus architecture | verilog | hardware debugging | microcontrollers | embedded systems | computer architecture | linux | cpu architecture | pcie | memory systems | circuit design | spi | hardware testing | microprocessors | digital electronics | fpga
QA Engineer,test planning | test case design | jmeter | manual testing | bdd | agile | sql | bug reporting | api testing | selenium | security testing | playwright | automation testing | python | cypress | mobile testing
Network Engineer,bgp | firewalls | routing protocols | cisco | network security | vpn | ospf | tcp/ip | load balancing | network automation | sd-wan | linux | mpls | python | networking
Technical Writer,user manuals | editing | collaboration tools | diagramming tools | release notes | information architecture | dita | style guides | documentation | version control | knowledge base | html | technical writing | xml | markdown | communication
WordPress Developer,plugin development | rest api | css | gutenberg | security hardening | html | wordpress | javascript | mysql | performance optimization | cdn | acf | seo basics | multisite | page builders | elementor
Computer Vision Engineer,python | tensorflow | cuda | object detection | ros | opencv | pytorch | point cloud | computer vision | mathematics | cnns | image segmentation | data augmentation | image processing | gans | 3d vision
Database Administrator,backup recovery | data modeling | indexing | stored procedures | mysql | redis | bash | python | database design | security | replication | high availability | postgresql | cloud | mongodb | oracle | sql | performance tuning
IT Support Specialist,documentation | windows | office 365 | hardware | powershell | linux | remote desktop | communication | security awareness | ticketing systems | vpn | itil | customer service | active directory | backup recovery | email administration | printer management
MLOps Engineer,mlops | git | python | apache airflow | dvc | model monitoring | kubeflow | terraform | bash | ci/cd | prometheus | docker | linux | feature stores | grafana | cloud | mlflow
Site Reliability Engineer (SRE),chaos engineering | git | linux | slo/sla | networking | capacity planning | on-call | docker | cloud | runbooks | monitoring | automation | distributed systems | incident management | bash | grafana
Backend Developer,java | microservices | system design | python | redis | message queues | sql | caching | kafka | spring boot | git | mongodb | node.js | linux | authentication | websockets | graphql | docker
Scrum Master,servant leadership | kanban | burn-down charts | impediment removal | reporting | velocity tracking | leadership | conflict resolution | team building | confluence | risk management | safe framework | communication | facilitation | sprint planning
AWS Solutions Architect,high availability | ecs/eks | rds | well-architected framework | python | kubernetes | lambda | cloud architecture | s3 | linux | networking | disaster recovery | cloudformation | security | serverless | migration | docker | terraform
Signal Processing Engineer,dsp algorithms | image processing | fft | sampling | time frequency analysis | numerical methods | matlab | statistics | iir filters | digital signal processing | communication systems | filtering | linear algebra | signal analysis | python
PHP Developer,vue.js | blade templates | git | css | rest api | mysql | redis | phpunit | linux | laravel | queue jobs | caching | php | composer | wordpress
Cloud Security Engineer,networking | casb | cloud | security automation | compliance | python | container security | security fundamentals | siem | linux | cloud security | dlp | zero trust | cspm | devsecops | terraform | incident response
Product Designer,sketch | invision | communication | ux research | html/css | user journey mapping | a/b testing | competitive analysis | stakeholder management | prototyping | figma | motion design | ui design | design systems | user flows | accessibility
Security Engineer,incident response | zero trust | cryptography | kubernetes | git | docker | bash | forensics | compliance | vulnerability management | cloud security | security fundamentals | iam | siem | security automation | threat modeling | penetration testing | python
Systems Administrator,capacity planning | linux | powershell | virtualization | vmware | security | active directory | backup recovery | hyper-v | patch management | bash | nfs/smb | windows server | email servers | cloud | networking | ldap
Blockchain Developer,rust | ethers.js | ipfs | ethereum | layer 2 solutions | nfts | security auditing | hardhat | defi | tokenomics | smart contracts | cross-chain protocols | web3.js | python | javascript | erc standards | git
AR/VR Developer,unity | haptics | computer vision | xr development | spatial computing | unreal engine | openxr | arkit/arcore | hololens sdk | 3d modeling | oculus sdk | c# | ux for xr | webxr | shader programming | animation | gesture recognition
Business Analyst,gap analysis | power bi | process mapping | visio | use case modeling | communication | excel | change management | presentation skills | sql | stakeholder management | documentation | data analysis | uml diagrams | swot analysis
Low Code Developer,power automate | workflow design | process automation | sql | dynamics 365 | testing | power platform | rest api | javascript | api connectors | documentation | logic apps | powerbi | formula language | sharepoint | azure | data integration
Data Governance Analyst,documentation | excel | stakeholder management | gdpr | change management | data quality | metadata management | compliance | data governance | data stewardship | sql | risk management | data catalog | power bi | data policies | data lineage | master data management | data architecture
Data Engineer,apache spark | nosql | etl | data warehousing | hadoop | git | redshift | apache airflow | dbt | snowflake | cloud | apache kafka | docker | sql | scala | python | bigquery
Kubernetes Engineer,gitops | monitoring | docker | terraform | networking | storage | argocd | kubernetes | ci/cd | python | cluster management | linux | operators | performance tuning | istio | security | service mesh | cloud
Data Analyst,data cleaning | dax | storytelling with data | pandas | r | business acumen | power query | looker | excel | data visualization | google analytics | statistics | sql | pivot tables | tableau | power bi
Frontend Developer,responsive design | testing | html | git | rest api | next.js | accessibility | webpack | graphql | vue.js | javascript | angular | web security | css | sass | performance optimization | typescript
Computer and Information Research Scientist,academic research | experiment design | computer vision | optimization | research methods | nlp | data structures | python | artificial intelligence | scientific computing | deep learning | tensorflow | technical writing | neural networks | statistics | machine learning
Electronics Engineer,electronics prototyping | matlab | spice | oscilloscopes | embedded systems | soldering | multimeter | sensors | power electronics | communication systems | emi/emc | digital electronics | testing and debugging | technical documentation | pcb design | signal processing | embedded c | circuit design
Application Security Engineer,web app security | authentication | sdlc security | threat modeling | git | authorization | ci/cd security | python | javascript | supply chain security | docker | cryptography | bug bounty | sast/dast | api security
Penetration Tester,kali linux | mobile security | burp suite | exploit development | metasploit | bash | nmap | cloud security | report writing | vulnerability assessment | active directory attacks | social engineering | python | networking | web app security
Game Developer,asset pipeline | unreal engine | audio design | c# | ui design | unity | git | level design | game analytics | shader programming | physics simulation | 3d modeling | animation | ai behavior | c++
iOS Developer,testing | rest api | core location | swiftui | testflight | swift | alamofire | xcode | avfoundation | app store deployment | git | in-app purchase | cocoapods/spm | push notifications | cloudkit | core data | concurrency
AI Engineer,mlops | deep learning | python | docker | vector databases | prompt engineering | rag | nlp | cloud | transformers | langchain | pytorch | hugging face | linux | llms | fastapi | fine tuning
Data Governance Analyst,data policies | risk management | excel | communication | documentation | data quality | gdpr | change management | data lineage | stakeholder management | data stewardship | data architecture | business acumen | power bi | metadata management | master data management | data catalog
AR/VR Developer,oculus sdk | shader programming | ux for xr | 3d modeling | openxr | spatial computing | computer vision | xr development | animation | webxr | physics simulation | unreal engine | haptics | unity | c# | 3d audio | gesture recognition
Fintech Developer,api gateway | sql | java | docker | iso 8583 | spring boot | cryptography | python | swift messaging | open banking | real-time processing | regulatory compliance | pci-dss | rest api | microservices
Software Architect,api design | documentation | distributed systems | event-driven architecture | nosql | technical leadership | database design | domain-driven design | design patterns | system design | containerization | sql | observability | service mesh | performance optimization | security | cloud | microservices
IT Support Specialist,documentation | hardware | customer service | office 365 | backup recovery | remote desktop | email administration | windows | linux | ticketing systems | itil | active directory | communication | security awareness | networking | vpn | powershell
PHP Developer,linux | laravel | html | api authentication | composer | git | redis | css | php | phpunit | queue jobs | vue.js | wordpress | eloquent orm | rest api | javascript | caching
SOC Analyst,edr | osint | ioc analysis | incident response | python | cloud security | communication | wireshark | security fundamentals | threat intelligence | log analysis | ticketing systems | vulnerability scanning | siem | linux
Backend Developer,microservices | node.js | message queues | linux | python | system design | git | sql | docker | authentication | kafka | redis | postgresql | caching | rest api | spring boot
Electronics Engineer,electronics prototyping | pcb design | signal processing | sensors | oscilloscopes | embedded systems | multimeter | microcontrollers | power electronics | emi/emc | spice | technical documentation | soldering | testing and debugging | analog electronics
GraphQL Developer,rest api | resolvers | subscriptions | authentication | graphql | javascript | git | docker | postgresql | sql | testing | federation | apollo | typescript | schema design | dataloader | node.js
Business Analyst,data analysis | excel | risk analysis | test case review | sql | gap analysis | swot analysis | uml diagrams | bpmn | presentation skills | change management | requirements gathering | agile | visio | power bi
NLP Engineer,statistics | gpt | tf-idf | nltk | llms | deep learning | word embeddings | named entity recognition | nlp | tokenization | onnx | sentiment analysis | python | spacy | machine learning | text preprocessing | hugging face | pytorch
iOS/Android Cross Platform Developer,performance optimization | git | typescript | javascript | rest api | debugging | deep linking | testing | state management | push notifications | dart | analytics | flutter | animations | react native | app store deployment | ci/cd | offline storage
AWS Solutions Architect,networking | terraform | serverless | cloudformation | disaster recovery | security | ecs/eks | well-architected framework | python | cost optimization | docker | aws | linux | lambda | high availability
COBOL Developer,batch processing | file handling | documentation | debugging | z/os | mq series | jcl | testing | mainframe systems | db2 | vsam | legacy migration | racf | copybooks | rehosting | banking systems | tso/ispf
Ruby Developer,authentication | ruby | mvc architecture | rspec | sql | testing | postgresql | cloud | ruby on rails | api design | git | caching | html | linux | sidekiq | rest api | javascript
Digital Marketing Tech,email marketing | a/b testing | social media marketing | marketing automation | conversion optimization | data analysis | content strategy | utm tracking | sql | crm | sem | salesforce | facebook ads | hubspot | reporting
Data Engineer,scala | apache spark | git | data warehousing | pandas | python | hadoop | snowflake | redshift | nosql | docker | data pipelines | apache kafka | apache airflow | etl | sql | linux
SOC Analyst,incident response | wireshark | cloud security | threat intelligence | ioc analysis | malware analysis | siem | firewalls | edr | networking | forensics | security fundamentals | playbook development | communication | log analysis | linux
.NET Developer,kubernetes | asp.net | git | unit testing | azure | dependency injection | linq | ci/cd | design patterns | c# | blazor | rest api | grpc | wpf | entity framework | microservices | .net
Platform Engineer,service mesh | cost optimization | docker | bash | kubernetes | developer experience | security | internal tooling | networking | documentation | gitops | ansible | python | cloud | terraform | helm | monitoring | linux
Embedded Systems Engineer,c++ | signal processing | electronics | assembly | safety standards | pcb design | arm architecture | c | uart/spi/i2c | device drivers | iot protocols | rtos | bootloaders | power optimization | linux | debugging
Swift Developer,localization | swiftui | objective-c | xcode | concurrency | ios development | accessibility | push notifications | testing | rest api | core data | cloudkit | macos development | combine | instruments | package manager | app store | swift
Go Developer,message queues | linux | concurrency | go | grpc | kubernetes | monitoring | security | networking | sql | cloud | docker | testing | git | bash
Business Intelligence Developer,data modeling | data warehousing | tableau | power bi | olap | python | azure synapse | looker | ssrs | excel | mdx | google data studio | etl | sql | reporting | qlikview | dax
Network Engineer,mpls | bgp | networking | routing protocols | vpn | cloud networking | python | switching | wireshark | network security | cisco | dns | ospf | qos | tcp/ip
Digital Marketing Tech,ppc advertising | sem | content strategy | crm | sql | attribution modeling | a/b testing | seo | hubspot | email marketing | salesforce | marketing automation | data analysis | social media marketing | reporting | facebook ads | utm tracking
Big Data Engineer,linux | data pipelines | hive | yarn | databricks | sql | data lake | nosql | distributed systems | hadoop | etl | python | cloud | apache spark | scala | data warehousing
CTO,regulatory compliance | cloud | system architecture | engineering culture | vendor management | r&d management | agile | communication | mergers & acquisitions | budget management | technical leadership | technology roadmap | recruitment | strategic planning | team building
Firmware Engineer,rtos | microcontrollers | gpio | uart | firmware development | hardware interfaces | c++ | device drivers | i2c | c | interrupts | arm | can | embedded linux | git | embedded c | memory management | spi
IT Support Specialist,customer service | itil | printer management | vpn | networking | ticketing systems | documentation | communication | backup recovery | office 365 | hardware | powershell | mobile device management | linux | windows | remote desktop | active directory | troubleshooting
Systems Administrator,monitoring | virtualization | powershell | linux | active directory | vmware | patch management | windows server | email servers | dhcp | hyper-v | bash | nfs/smb | cloud | ldap
React Native Developer,app store deployment | react | react native | navigation | testing | debugging | redux | asyncstorage | ci/cd | firebase | typescript | push notifications | rest api | javascript | git | performance optimization
Java Developer,kubernetes | redis | cloud | reactive programming | junit | sql | spring security | microservices | maven | docker | kafka | spring boot | rest api | jpa | design patterns | gradle
PHP Developer,phpunit | mysql | css | redis | blade templates | eloquent orm | html | vue.js | linux | api authentication | laravel | javascript | docker | composer | caching | git | php | queue jobs
Prompt Engineer,fine tuning | python | rag | data analysis | workflow automation | communication | api integration | output parsing | langchain | chain-of-thought | model selection | evaluation frameworks | prompt engineering | llms | few-shot learning | a/b testing | context management | documentation
Frontend Developer,angular | vue.js | rest api | responsive design | webpack | performance optimization | graphql | pwa | git | next.js | css | sass | html | typescript | javascript | redux | accessibility
SEO Specialist,core web vitals | seo | keyword research | e-commerce seo | technical seo | wordpress | ahrefs/semrush | reporting | local seo | international seo | content writing | data analysis | google search console | schema markup | competitive analysis | content strategy | link building
Robotics Engineer,machine learning | c++ | gazebo | testing | kinematics | pcb design | hardware integration | ros | sensor fusion | computer vision | embedded systems | python | linux | control systems | electronics
Technical Project Manager,contract management | communication | agile | issue tracking | waterfall | resource planning | technical background | stakeholder management | ms project | reporting | change management | confluence | leadership | project management | risk management | scope management | schedule management
DevOps Engineer,nginx | jenkins | kubernetes | prometheus | service mesh | security | cloud | github actions | ci/cd | docker | git | linux | bash | helm | elk stack
Fullstack Developer,typescript | react | redis | websockets | rest api | next.js | testing | authentication | mongodb | html | node.js | graphql | ci/cd | cloud | javascript | css | sql | git
ERP Developer,odata | sql | sap modules | integration | debugging | change management | smart forms | sap fiori | alv reports | testing | business processes | bapi/rfc | sap | user training | cloud | erp systems
Platform Engineer,cloud | python | bash | documentation | observability | monitoring | kubernetes | networking | ansible | terraform | service mesh | developer experience | linux | cost optimization | security | docker | internal tooling
CTO,technical leadership | security | team building | regulatory compliance | mergers & acquisitions | recruitment | agile | communication | cloud | engineering culture | vendor management | technology roadmap | product strategy | metrics | strategic planning | system architecture | stakeholder management
Security Engineer,cloud security | iam | forensics | git | python | zero trust | threat modeling | docker | linux | security automation | siem | security fundamentals | vulnerability management | network security | penetration testing | cryptography | incident response
Penetration Tester,owasp | burp suite | vulnerability assessment | kali linux | bash | mobile security | exploit development | networking | metasploit | social engineering | active directory attacks | web app security | linux | ethical hacking | report writing
Java Developer,maven | docker | cloud | hibernate | rest api | kubernetes | junit | jpa | reactive programming | microservices | spring security | design patterns | sql | kafka | redis | spring boot | git | multithreading
AI Engineer,fastapi | hugging face | vector databases | prompt engineering | llms | linux | deep learning | python | git | transformers | machine learning | cloud | docker | langchain | rag | mlops
React Developer,storybook | testing | css | react query | webpack | react hooks | context api | graphql | jest | typescript | redux | accessibility | git | styled components | html
Robotics Engineer,machine learning | computer aided design | embedded systems | control systems | kinematics | hardware integration | slam | computer vision | pcb design | gazebo | testing | electronics | ros | c++ | linux | simulation
Platform Engineer,documentation | terraform | kubernetes | docker | networking | helm | observability | internal tooling | ci/cd | security | linux | developer experience | gitops | cost optimization | service mesh | monitoring | python | bash
DevOps Engineer,git | prometheus | jenkins | helm | linux | kubernetes | grafana | terraform | bash | ansible | cloud | monitoring | service mesh | nginx | security
Solutions Engineer,python | use case development | rest api | communication | presentation skills | troubleshooting | security | sql | technical sales | networking | product knowledge | crm | pre-sales | scripting | stakeholder management | solution architecture | customer success | cloud
Fintech Developer,pci-dss | api gateway | microservices | real-time processing | open banking | spring boot | swift messaging | redis | rest api | java | fraud detection | payment systems | docker | sql | python | regulatory compliance | cryptography | iso 8583
Systems Administrator,hyper-v | monitoring | vmware | email servers | capacity planning | bash | linux | windows server | backup recovery | dhcp | virtualization | ldap | patch management | networking | security | cloud
Technical Project Manager,ms project | change management | schedule management | stakeholder management | quality assurance | waterfall | risk management | jira | issue tracking | confluence | resource planning | agile | scope management | contract management | communication
Prompt Engineer,bias mitigation | communication | nlp | langchain | llms | chain-of-thought | model selection | few-shot learning | rag | workflow automation | evaluation frameworks | python | prompt engineering | documentation | a/b testing | data analysis | api integration
Data Engineer,apache kafka | docker | redshift | apache airflow | dbt | nosql | linux | pandas | git | etl | apache spark | sql | snowflake | data warehousing | scala | bigquery | data pipelines | hadoop
Python Developer,docker | git | asyncio | rest api | pytest | sql | redis | celery | numpy | cloud | sqlalchemy | pydantic | fastapi | postgresql | linux | pandas | testing
Data Engineer,bigquery | linux | docker | pandas | data pipelines | nosql | snowflake | python | apache kafka | data warehousing | apache spark | etl | scala | sql | dbt
Ruby Developer,html | caching | rspec | javascript | ruby | linux | rest api | ruby on rails | cloud | redis | sql | docker | api design | git | css | authentication
iOS/Android Cross Platform Developer,app store deployment | git | debugging | dart | deep linking | flutter | typescript | ci/cd | analytics | ui/ux design | push notifications | firebase | javascript | offline storage | performance optimization
Data Governance Analyst,data stewardship | stakeholder management | compliance | metadata management | data architecture | change management | data policies | gdpr | business acumen | data catalog | master data management | data governance | excel | data lineage | sql | risk management | power bi
iOS/Android Cross Platform Developer,ui/ux design | offline storage | performance optimization | state management | push notifications | rest api | git | ci/cd | react native | deep linking | app store deployment | flutter | testing | analytics | javascript | animations | debugging
Frontend Developer,responsive design | git | sass | next.js | web security | typescript | css | html | angular | react | vue.js | pwa | javascript | performance optimization | graphql | testing | webpack
Low Code Developer,sql | process automation | testing | api connectors | workflow design | power apps | javascript | logic apps | azure | power platform | sharepoint | powerbi | formula language | dynamics 365 | power automate
Data Engineer,git | etl | apache kafka | sql | data warehousing | pandas | apache airflow | redshift | dbt | nosql | python | cloud | bigquery | data pipelines | hadoop | snowflake
Technical Project Manager,leadership | scope management | confluence | stakeholder management | agile | technical background | jira | schedule management | reporting | resource planning | contract management | ms project | budgeting | project management | communication | waterfall | issue tracking | change management
NLP Engineer,bert | statistics | nlp | nltk | sentiment analysis | text preprocessing | gpt | python | transformers | named entity recognition | machine learning | tf-idf | spacy | word embeddings | deep learning | onnx
AI Safety Engineer,llms | python | documentation | risk assessment | machine learning | research | interpretability | communication | bias detection | policy understanding | reinforcement learning | ethics | safety engineering | red teaming | alignment research
AI Safety Engineer,red teaming | llms | ethics | policy understanding | deep learning | research | stakeholder engagement | python | reinforcement learning | bias detection | machine learning | mathematics | documentation | interpretability | testing | risk assessment | alignment research | safety engineering
Kubernetes Engineer,linux | storage | networking | monitoring | gitops | bash | cloud | istio | operators | docker | python | cluster management | terraform | argocd | security | helm
Frontend Developer,web security | sass | graphql | pwa | javascript | vue.js | webpack | performance optimization | responsive design | next.js | testing | accessibility | typescript | redux | react | angular | rest api
Scala Developer,docker | nosql | functional programming | big data | apache spark | git | ci/cd | akka | testing | scala | cloud | distributed systems | linux | design patterns | kafka | java
Fintech Developer,python | java | kafka | pci-dss | regulatory compliance | fraud detection | redis | swift messaging | cryptography | real-time processing | microservices | payment systems | sql | docker | spring boot
Prompt Engineer,context management | model selection | few-shot learning | api integration | documentation | prompt engineering | fine tuning | data analysis | nlp | python | communication | a/b testing | langchain | evaluation frameworks | rag
Helpdesk Technician,remote desktop | office 365 | communication | documentation | linux | mobile device management | troubleshooting | networking | itil | ticketing systems | hardware | security awareness | email administration | windows | active directory | user training | customer service | escalation management
Java Developer,maven | junit | hibernate | multithreading | sql | spring boot | git | gradle | java | spring security | rest api | cloud | design patterns | redis | microservices
Solutions Engineer,rest api | crm | scripting | python | use case development | troubleshooting | sql | stakeholder management | pre-sales | technical sales | communication | product knowledge | docker | security | networking | solution architecture | customer success
Computer and Information Research Scientist,experiment design | mathematics | technical writing | computer vision | python | artificial intelligence | algorithms | nlp | data structures | tensorflow | neural networks | research methods | statistics | scientific computing | machine learning | optimization | pytorch | data analysis
