Candidate_ID,Career,Skills,Education,Experience_Level,Experience_Years,Certification,RIASEC_Realistic,RIASEC_Investigative,RIASEC_Artistic,RIASEC_Social,RIASEC_Enterprising,RIASEC_Conventional
C0086,Embedded Systems Engineer,"Microcontroller Programming, Yocto Project, C++, RTOS (FreeRTOS/VxWorks), ARM Cortex-M/A, Bare-metal Programming, Git, Board Bring-up, Real-Time Systems Design, I2C/SPI/UART Protocols, Embedded C, Assembly Language",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.4,ARM Accredited Engineer,3.56,3.96,2.72,1.18,2.08,3.46
C0087,Embedded Systems Engineer,"Microcontroller Programming, RTOS (FreeRTOS/VxWorks), Embedded C, Git, Embedded Linux, Yocto Project, ARM Cortex-M/A, I2C/SPI/UART Protocols, Real-Time Systems Design",M.Tech Embedded Systems,Entry-level (0-1 yrs / Fresher),0.2,None,3.07,3.88,1.81,1.93,2.73,3.45
C0088,Embedded Systems Engineer,"Keil/IAR Embedded Workbench, RTOS (FreeRTOS/VxWorks), Assembly Language, JTAG Debugging, Board Bring-up, Yocto Project, I2C/SPI/UART Protocols, Real-Time Systems Design, Embedded C, Microcontroller Programming, ARM Cortex-M/A, Bare-metal Programming",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),8.4,ARM Accredited Engineer,3.7,4.12,1.34,2.09,2.42,2.71
C0089,Embedded Systems Engineer,"Embedded C, Yocto Project, ARM Cortex-M/A, Assembly Language, JTAG Debugging, RTOS (FreeRTOS/VxWorks), Microcontroller Programming, Interrupt Handling, Bootloader Development",M.Tech Embedded Systems,Entry-level (0-1 yrs / Fresher),0.6,None,3.4,3.7,1.0,1.93,2.96,3.19
C0090,Embedded Systems Engineer,"RTOS (FreeRTOS/VxWorks), Logic Analyzer Usage, Embedded C, Embedded Linux, Microcontroller Programming, Yocto Project, Bare-metal Programming, Keil/IAR Embedded Workbench, Bootloader Development, ARM Cortex-M/A, Git, I2C/SPI/UART Protocols",B.E. Electrical and Electronics Engineering,Junior (1-3 yrs),1.8,Embedded Linux Certification,3.87,4.55,2.48,1.54,2.94,3.75
C0091,Embedded Systems Engineer,"RTOS (FreeRTOS/VxWorks), Interrupt Handling, ARM Cortex-M/A, Bare-metal Programming, Bootloader Development, C++, Embedded Linux, Microcontroller Programming, Embedded C",M.Tech Embedded Systems,Mid-level (3-6 yrs),5.9,ARM Accredited Engineer,3.76,4.25,1.76,1.24,2.42,2.51
C0092,Embedded Systems Engineer,"Bare-metal Programming, Microcontroller Programming, Embedded C, Keil/IAR Embedded Workbench, ARM Cortex-M/A, Git, RTOS (FreeRTOS/VxWorks), Bootloader Development, Yocto Project, JTAG Debugging, Assembly Language, Logic Analyzer Usage",M.Tech Embedded Systems,Junior (1-3 yrs),1.7,None,4.47,4.23,1.8,1.83,1.9,3.23
C0093,Embedded Systems Engineer,"RTOS (FreeRTOS/VxWorks), Microcontroller Programming, Embedded C, Embedded Linux, Bare-metal Programming, ARM Cortex-M/A, JTAG Debugging, Bootloader Development, I2C/SPI/UART Protocols, Git, Keil/IAR Embedded Workbench",B.E. Computer Science Engineering,Junior (1-3 yrs),2.4,None,4.04,4.77,2.8,1.84,1.64,3.29
C0094,Embedded Systems Engineer,"Logic Analyzer Usage, ARM Cortex-M/A, RTOS (FreeRTOS/VxWorks), Embedded C, Git, Embedded Linux, Microcontroller Programming, C++",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.0,Embedded Linux Certification,4.23,4.21,2.61,1.54,2.36,3.34
C0095,Embedded Systems Engineer,"Embedded Linux, ARM Cortex-M/A, Bootloader Development, Bare-metal Programming, Git, Assembly Language, Interrupt Handling, Microcontroller Programming, RTOS (FreeRTOS/VxWorks), C++, Real-Time Systems Design, Embedded C",M.Tech Embedded Systems,Mid-level (3-6 yrs),5.4,ARM Accredited Engineer,3.41,4.29,1.0,1.42,2.49,4.0
C0096,Embedded Systems Engineer,"C++, RTOS (FreeRTOS/VxWorks), Embedded C, Embedded Linux, Logic Analyzer Usage, Real-Time Systems Design, ARM Cortex-M/A, Microcontroller Programming",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),0.5,None,3.48,3.72,2.87,1.75,3.11,2.85
C0097,Embedded Systems Engineer,"Board Bring-up, Microcontroller Programming, ARM Cortex-M/A, Yocto Project, RTOS (FreeRTOS/VxWorks), Logic Analyzer Usage, Interrupt Handling, Embedded C, JTAG Debugging",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.2,None,4.0,3.85,1.32,1.7,2.75,2.91
C0098,Embedded Systems Engineer,"Device Drivers, Real-Time Systems Design, Yocto Project, I2C/SPI/UART Protocols, Bare-metal Programming, Keil/IAR Embedded Workbench, RTOS (FreeRTOS/VxWorks), Assembly Language, ARM Cortex-M/A, Git, Microcontroller Programming, Embedded C",M.Tech Embedded Systems,Senior (6-10 yrs),8.0,Embedded Linux Certification,3.33,3.87,2.01,2.39,1.9,3.87
C0099,Embedded Systems Engineer,"Microcontroller Programming, Real-Time Systems Design, Embedded C, Git, Device Drivers, ARM Cortex-M/A, JTAG Debugging, Bootloader Development, Yocto Project, RTOS (FreeRTOS/VxWorks)",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),4.3,Embedded Linux Certification,3.84,4.1,1.34,2.11,2.21,3.39
C0100,Embedded Systems Engineer,"Keil/IAR Embedded Workbench, Interrupt Handling, Microcontroller Programming, RTOS (FreeRTOS/VxWorks), Embedded C, ARM Cortex-M/A, Device Drivers, Assembly Language",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.1,None,3.6,3.78,1.76,2.21,2.55,3.59
C0101,Embedded Systems Engineer,"Board Bring-up, Bare-metal Programming, Bootloader Development, RTOS (FreeRTOS/VxWorks), Microcontroller Programming, Embedded C, Keil/IAR Embedded Workbench, Logic Analyzer Usage, Device Drivers, ARM Cortex-M/A",M.Tech Embedded Systems,Senior (6-10 yrs),9.2,Embedded Linux Certification,3.31,4.16,2.06,1.38,2.12,3.21
C0102,Embedded Systems Engineer,"Microcontroller Programming, Yocto Project, Embedded C, Bare-metal Programming, Board Bring-up, RTOS (FreeRTOS/VxWorks), I2C/SPI/UART Protocols, JTAG Debugging, ARM Cortex-M/A, Keil/IAR Embedded Workbench, Real-Time Systems Design, Bootloader Development",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),1.0,None,3.96,3.9,2.02,1.18,3.1,3.73
C0103,Embedded Systems Engineer,"Real-Time Systems Design, Microcontroller Programming, JTAG Debugging, Board Bring-up, Embedded Linux, ARM Cortex-M/A, Embedded C, Bootloader Development, I2C/SPI/UART Protocols, RTOS (FreeRTOS/VxWorks), Yocto Project",B.E. Electrical and Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.8,Embedded Linux Certification,3.48,3.3,1.06,1.41,2.63,3.59
C0104,Embedded Systems Engineer,"ARM Cortex-M/A, Bare-metal Programming, I2C/SPI/UART Protocols, C++, RTOS (FreeRTOS/VxWorks), Git, Embedded C, Microcontroller Programming, Interrupt Handling, Embedded Linux",B.E. Electrical and Electronics Engineering,Mid-level (3-6 yrs),4.2,None,3.65,4.07,2.13,2.15,2.59,3.35
C0105,Embedded Systems Engineer,"Keil/IAR Embedded Workbench, Microcontroller Programming, Real-Time Systems Design, Bootloader Development, Embedded C, ARM Cortex-M/A, RTOS (FreeRTOS/VxWorks), Board Bring-up, JTAG Debugging",M.Tech Embedded Systems,Entry-level (0-1 yrs / Fresher),0.3,ARM Accredited Engineer,4.06,4.05,2.35,2.36,2.99,3.12
C0106,Embedded Systems Engineer,"Assembly Language, Logic Analyzer Usage, Keil/IAR Embedded Workbench, Microcontroller Programming, I2C/SPI/UART Protocols, Embedded C, ARM Cortex-M/A, JTAG Debugging, Bare-metal Programming, RTOS (FreeRTOS/VxWorks), Board Bring-up, Real-Time Systems Design",B.E. Electrical and Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.7,None,3.59,4.61,1.95,1.4,2.55,2.93
C0107,Embedded Systems Engineer,"Git, RTOS (FreeRTOS/VxWorks), Microcontroller Programming, Embedded C, Device Drivers, ARM Cortex-M/A, Keil/IAR Embedded Workbench, Board Bring-up, JTAG Debugging, Bootloader Development",B.E. Electrical and Electronics Engineering,Junior (1-3 yrs),2.6,Embedded Linux Certification,4.17,3.74,1.64,1.59,2.41,3.6
C0108,Embedded Systems Engineer,"I2C/SPI/UART Protocols, Embedded C, Interrupt Handling, Bare-metal Programming, Yocto Project, ARM Cortex-M/A, Microcontroller Programming, Real-Time Systems Design, Assembly Language, RTOS (FreeRTOS/VxWorks)",B.E. Electrical and Electronics Engineering,Mid-level (3-6 yrs),3.4,Embedded Linux Certification,4.0,3.53,2.45,1.16,2.14,3.43
C0109,Embedded Systems Engineer,"ARM Cortex-M/A, Embedded Linux, Real-Time Systems Design, Bare-metal Programming, Yocto Project, Embedded C, Assembly Language, Microcontroller Programming, RTOS (FreeRTOS/VxWorks), Git, Board Bring-up",B.E. Computer Science Engineering,Mid-level (3-6 yrs),3.5,None,3.07,3.72,1.32,1.91,2.12,3.26
C0110,Embedded Systems Engineer,"Board Bring-up, Assembly Language, Bare-metal Programming, C++, Keil/IAR Embedded Workbench, RTOS (FreeRTOS/VxWorks), Git, Embedded C, Logic Analyzer Usage, ARM Cortex-M/A, JTAG Debugging, Microcontroller Programming",B.E. Computer Science Engineering,Junior (1-3 yrs),2.6,Embedded Linux Certification,4.05,3.58,1.3,2.14,2.56,2.68
C0111,Embedded Systems Engineer,"Embedded C, Microcontroller Programming, ARM Cortex-M/A, Interrupt Handling, Assembly Language, Keil/IAR Embedded Workbench, Bootloader Development, RTOS (FreeRTOS/VxWorks)",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.9,None,4.79,3.39,1.94,1.75,2.6,3.17
C0112,Embedded Systems Engineer,"JTAG Debugging, Board Bring-up, Microcontroller Programming, Bare-metal Programming, Embedded C, Embedded Linux, ARM Cortex-M/A, Git, Logic Analyzer Usage, RTOS (FreeRTOS/VxWorks)",M.Tech Embedded Systems,Senior (6-10 yrs),9.8,Embedded Linux Certification,3.0,3.6,1.9,1.76,2.96,3.3
C0113,Embedded Systems Engineer,"Microcontroller Programming, Embedded C, Bare-metal Programming, Logic Analyzer Usage, Device Drivers, JTAG Debugging, RTOS (FreeRTOS/VxWorks), Assembly Language, ARM Cortex-M/A, Git",B.E. Electrical and Electronics Engineering,Mid-level (3-6 yrs),5.7,ARM Accredited Engineer,4.24,4.16,1.84,1.84,2.61,3.3
C0114,Embedded Systems Engineer,"ARM Cortex-M/A, I2C/SPI/UART Protocols, Yocto Project, JTAG Debugging, Bootloader Development, RTOS (FreeRTOS/VxWorks), Embedded C, Embedded Linux, Bare-metal Programming, Microcontroller Programming, C++",B.E. Computer Science Engineering,Senior (6-10 yrs),8.6,ARM Accredited Engineer,4.16,4.0,1.99,2.11,2.38,3.35
C0115,Embedded Systems Engineer,"I2C/SPI/UART Protocols, RTOS (FreeRTOS/VxWorks), Board Bring-up, Logic Analyzer Usage, Yocto Project, Device Drivers, Embedded C, Bare-metal Programming, ARM Cortex-M/A, Microcontroller Programming",M.Tech Embedded Systems,Junior (1-3 yrs),1.8,None,3.32,3.53,2.27,2.11,2.22,3.25
C0116,Embedded Systems Engineer,"I2C/SPI/UART Protocols, Yocto Project, RTOS (FreeRTOS/VxWorks), JTAG Debugging, Microcontroller Programming, Embedded Linux, Embedded C, ARM Cortex-M/A, Real-Time Systems Design, Bare-metal Programming",M.Tech Embedded Systems,Senior (6-10 yrs),7.3,None,3.71,4.58,1.81,2.44,2.34,3.08
C0117,Embedded Systems Engineer,"Embedded C, Bootloader Development, RTOS (FreeRTOS/VxWorks), Microcontroller Programming, Real-Time Systems Design, Embedded Linux, Logic Analyzer Usage, ARM Cortex-M/A",M.Tech Embedded Systems,Entry-level (0-1 yrs / Fresher),0.8,None,3.5,4.01,1.26,1.9,1.31,3.2
C0118,Embedded Systems Engineer,"Microcontroller Programming, Yocto Project, Bare-metal Programming, Real-Time Systems Design, Embedded C, ARM Cortex-M/A, I2C/SPI/UART Protocols, RTOS (FreeRTOS/VxWorks), Interrupt Handling, Keil/IAR Embedded Workbench",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),3.6,ARM Accredited Engineer,4.08,3.87,1.66,2.52,2.45,2.98
C0119,Embedded Systems Engineer,"Git, Embedded C, Embedded Linux, RTOS (FreeRTOS/VxWorks), I2C/SPI/UART Protocols, Interrupt Handling, Assembly Language, ARM Cortex-M/A, Bootloader Development, Device Drivers, Microcontroller Programming",M.Tech Embedded Systems,Senior (6-10 yrs),8.9,None,3.86,4.06,1.4,2.08,2.13,3.18
C0120,Embedded Systems Engineer,"ARM Cortex-M/A, Microcontroller Programming, Embedded C, Yocto Project, C++, Device Drivers, Logic Analyzer Usage, I2C/SPI/UART Protocols, RTOS (FreeRTOS/VxWorks)",B.E. Computer Science Engineering,Mid-level (3-6 yrs),5.2,ARM Accredited Engineer,3.71,3.9,1.91,1.6,2.98,3.65
C0121,IoT Engineer,"CoAP Protocol, IoT Security, ESP32/ESP8266, Embedded C, Arduino, Data Telemetry and Analytics, Edge Computing, Wi-Fi Protocols, MQTT Protocol, BLE (Bluetooth Low Energy), Sensor Integration, Azure IoT Hub",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),0.5,None,3.72,3.88,2.2,2.17,3.11,2.4
C0122,IoT Engineer,"ESP32/ESP8266, Sensor Integration, Zigbee, AWS IoT Core, Embedded C, Python, Azure IoT Hub, LoRaWAN, Wi-Fi Protocols, CoAP Protocol, MQTT Protocol",B.Tech Information Technology,Entry-level (0-1 yrs / Fresher),0.9,Cisco IoT Fundamentals,3.55,3.66,2.48,2.43,2.67,3.24
C0123,IoT Engineer,"Azure IoT Hub, Data Telemetry and Analytics, Node-RED, MQTT Protocol, Wi-Fi Protocols, Zigbee, Embedded C, Sensor Integration, ESP32/ESP8266, CoAP Protocol",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),3.0,None,3.88,3.48,2.49,2.5,2.93,3.46
C0124,IoT Engineer,"Python, Raspberry Pi, Data Telemetry and Analytics, Sensor Integration, ESP32/ESP8266, LoRaWAN, MQTT Protocol, Embedded C",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.3,None,3.96,4.23,1.15,2.61,2.93,3.31
C0125,IoT Engineer,"Wi-Fi Protocols, Sensor Integration, Data Telemetry and Analytics, IoT Security, Python, MQTT Protocol, Embedded C, ESP32/ESP8266, Device Provisioning, CoAP Protocol",B.E. Computer Science Engineering,Senior (6-10 yrs),7.9,None,3.77,4.26,2.16,1.76,2.14,3.18
C0126,IoT Engineer,"Wi-Fi Protocols, ESP32/ESP8266, Device Provisioning, LoRaWAN, REST APIs, Sensor Integration, MQTT Protocol, Embedded C",M.Tech IoT and Sensor Systems,Senior (6-10 yrs),8.1,Cisco IoT Fundamentals,3.42,5.0,2.5,2.28,2.27,3.2
C0127,IoT Engineer,"Raspberry Pi, Sensor Integration, ESP32/ESP8266, Zigbee, Azure IoT Hub, BLE (Bluetooth Low Energy), Device Provisioning, Embedded C, MQTT Protocol",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),5.8,AWS IoT Certification,3.64,4.02,2.45,1.95,3.5,3.63
C0128,IoT Engineer,"Sensor Integration, BLE (Bluetooth Low Energy), Zigbee, MQTT Protocol, Arduino, ESP32/ESP8266, Embedded C, CoAP Protocol, Node-RED, Azure IoT Hub",B.E. Computer Science Engineering,Mid-level (3-6 yrs),3.8,None,4.04,4.12,2.11,2.53,2.47,3.27
C0129,IoT Engineer,"ESP32/ESP8266, Embedded C, Sensor Integration, Data Telemetry and Analytics, BLE (Bluetooth Low Energy), LoRaWAN, MQTT Protocol, AWS IoT Core",B.Tech Information Technology,Mid-level (3-6 yrs),4.4,None,3.21,4.43,1.96,2.49,3.43,3.09
C0130,IoT Engineer,"ESP32/ESP8266, Sensor Integration, Embedded C, Azure IoT Hub, MQTT Protocol, Edge Computing, Device Provisioning, Arduino",B.E. Computer Science Engineering,Mid-level (3-6 yrs),4.6,AWS IoT Certification,3.59,3.03,1.09,1.68,2.18,3.6
C0131,IoT Engineer,"ESP32/ESP8266, Data Telemetry and Analytics, Wi-Fi Protocols, MQTT Protocol, Sensor Integration, Node-RED, Python, Embedded C, Zigbee",B.Tech Information Technology,Mid-level (3-6 yrs),3.5,AWS IoT Certification,3.75,4.16,2.2,2.68,3.79,3.0
C0132,IoT Engineer,"ESP32/ESP8266, Wi-Fi Protocols, Sensor Integration, BLE (Bluetooth Low Energy), Python, LoRaWAN, MQTT Protocol, CoAP Protocol, Embedded C",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),5.1,None,3.19,3.81,1.62,3.18,2.85,2.57
C0133,IoT Engineer,"Wi-Fi Protocols, REST APIs, Embedded C, MQTT Protocol, Edge Computing, BLE (Bluetooth Low Energy), IoT Security, Python, Sensor Integration, Node-RED, ESP32/ESP8266",B.Tech Information Technology,Entry-level (0-1 yrs / Fresher),0.2,Cisco IoT Fundamentals,4.42,3.5,2.19,2.71,3.1,2.91
C0134,IoT Engineer,"Azure IoT Hub, BLE (Bluetooth Low Energy), Embedded C, ESP32/ESP8266, Sensor Integration, Wi-Fi Protocols, CoAP Protocol, MQTT Protocol",B.E. Computer Science Engineering,Junior (1-3 yrs),2.4,Cisco IoT Fundamentals,3.49,4.19,2.5,2.2,2.78,1.95
C0135,IoT Engineer,"AWS IoT Core, MQTT Protocol, Data Telemetry and Analytics, Raspberry Pi, CoAP Protocol, Embedded C, Edge Computing, Sensor Integration, ESP32/ESP8266, IoT Security, Wi-Fi Protocols",M.Tech IoT and Sensor Systems,Entry-level (0-1 yrs / Fresher),0.1,None,3.68,3.85,2.95,2.63,3.26,2.95
C0136,IoT Engineer,"Node-RED, Arduino, REST APIs, Device Provisioning, Data Telemetry and Analytics, AWS IoT Core, BLE (Bluetooth Low Energy), ESP32/ESP8266, Python, MQTT Protocol, Embedded C, Sensor Integration",M.Tech IoT and Sensor Systems,Junior (1-3 yrs),1.2,None,2.81,3.67,2.32,2.51,2.6,3.15
C0137,IoT Engineer,"CoAP Protocol, LoRaWAN, BLE (Bluetooth Low Energy), Embedded C, Sensor Integration, Zigbee, ESP32/ESP8266, IoT Security, Raspberry Pi, Data Telemetry and Analytics, MQTT Protocol, Arduino",B.E. Computer Science Engineering,Mid-level (3-6 yrs),5.7,Cisco IoT Fundamentals,3.55,4.11,1.81,2.32,3.17,2.56
C0138,IoT Engineer,"Raspberry Pi, MQTT Protocol, Sensor Integration, Edge Computing, Wi-Fi Protocols, Embedded C, Zigbee, ESP32/ESP8266, REST APIs",B.E. Computer Science Engineering,Senior (6-10 yrs),7.2,None,4.02,3.64,1.24,2.19,3.09,2.43
C0139,IoT Engineer,"ESP32/ESP8266, Zigbee, LoRaWAN, Node-RED, Azure IoT Hub, Raspberry Pi, BLE (Bluetooth Low Energy), Python, MQTT Protocol, Device Provisioning, Embedded C, Sensor Integration",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),8.2,Cisco IoT Fundamentals,3.8,3.62,2.15,2.17,2.74,2.49
C0140,IoT Engineer,"Embedded C, AWS IoT Core, Node-RED, ESP32/ESP8266, Sensor Integration, IoT Security, BLE (Bluetooth Low Energy), Zigbee, Python, REST APIs, MQTT Protocol",B.Tech Information Technology,Senior (6-10 yrs),6.1,Cisco IoT Fundamentals,3.04,4.32,1.93,1.83,2.25,3.5
C0141,IoT Engineer,"ESP32/ESP8266, Wi-Fi Protocols, MQTT Protocol, Raspberry Pi, LoRaWAN, Sensor Integration, Azure IoT Hub, Python, Embedded C",B.E. Computer Science Engineering,Junior (1-3 yrs),1.6,None,3.55,3.65,2.03,1.66,3.27,3.23
C0142,IoT Engineer,"Wi-Fi Protocols, Sensor Integration, ESP32/ESP8266, Embedded C, Device Provisioning, IoT Security, BLE (Bluetooth Low Energy), Edge Computing, Arduino, Data Telemetry and Analytics, MQTT Protocol",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),0.2,None,3.86,4.12,2.22,2.56,2.51,3.09
C0143,IoT Engineer,"Zigbee, Embedded C, Wi-Fi Protocols, Sensor Integration, Arduino, ESP32/ESP8266, MQTT Protocol, Azure IoT Hub",M.Tech IoT and Sensor Systems,Entry-level (0-1 yrs / Fresher),0.3,None,4.25,4.24,2.15,1.93,2.95,3.28
C0144,IoT Engineer,"Sensor Integration, Edge Computing, ESP32/ESP8266, Arduino, AWS IoT Core, REST APIs, MQTT Protocol, Data Telemetry and Analytics, Embedded C",M.Tech IoT and Sensor Systems,Mid-level (3-6 yrs),4.3,None,3.76,3.64,2.17,2.53,2.35,2.93
C0145,IoT Engineer,"Embedded C, ESP32/ESP8266, Wi-Fi Protocols, LoRaWAN, Arduino, Edge Computing, Sensor Integration, IoT Security, REST APIs, MQTT Protocol, Node-RED, Zigbee",B.E. Computer Science Engineering,Junior (1-3 yrs),2.0,None,4.08,3.57,2.27,1.69,2.58,2.49
C0146,IoT Engineer,"Sensor Integration, Data Telemetry and Analytics, AWS IoT Core, MQTT Protocol, Embedded C, LoRaWAN, ESP32/ESP8266, CoAP Protocol",B.Tech Information Technology,Mid-level (3-6 yrs),4.5,None,3.94,3.31,2.18,2.36,3.11,3.22
C0147,IoT Engineer,"CoAP Protocol, MQTT Protocol, Embedded C, ESP32/ESP8266, Zigbee, IoT Security, Sensor Integration, Raspberry Pi, REST APIs, Data Telemetry and Analytics, Wi-Fi Protocols, Device Provisioning",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.5,None,2.7,4.0,1.85,2.43,3.64,3.26
C0148,IoT Engineer,"ESP32/ESP8266, Azure IoT Hub, AWS IoT Core, Embedded C, MQTT Protocol, Node-RED, Data Telemetry and Analytics, Wi-Fi Protocols, Sensor Integration",B.E. Computer Science Engineering,Mid-level (3-6 yrs),4.9,AWS IoT Certification,3.24,4.08,2.18,1.68,3.28,3.59
C0149,IoT Engineer,"MQTT Protocol, Sensor Integration, Embedded C, LoRaWAN, Node-RED, REST APIs, ESP32/ESP8266, AWS IoT Core",B.E. Computer Science Engineering,Mid-level (3-6 yrs),5.9,Cisco IoT Fundamentals,3.52,3.51,2.14,2.2,2.87,2.72
C0150,IoT Engineer,"BLE (Bluetooth Low Energy), ESP32/ESP8266, AWS IoT Core, Data Telemetry and Analytics, Edge Computing, Embedded C, Raspberry Pi, MQTT Protocol, Sensor Integration, Node-RED",B.Tech Information Technology,Junior (1-3 yrs),1.7,None,3.34,4.2,2.95,1.91,2.66,3.16
C0151,IoT Engineer,"AWS IoT Core, Node-RED, Arduino, ESP32/ESP8266, Embedded C, Python, Edge Computing, MQTT Protocol, Sensor Integration",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.7,AWS IoT Certification,3.69,4.06,1.91,2.27,2.89,3.62
C0152,IoT Engineer,"LoRaWAN, Sensor Integration, Embedded C, ESP32/ESP8266, MQTT Protocol, AWS IoT Core, REST APIs, Arduino, Raspberry Pi",M.Tech IoT and Sensor Systems,Entry-level (0-1 yrs / Fresher),0.8,None,3.58,4.25,2.06,2.69,3.09,3.6
C0153,IoT Engineer,"Zigbee, MQTT Protocol, Sensor Integration, Wi-Fi Protocols, Edge Computing, Device Provisioning, Azure IoT Hub, Embedded C, ESP32/ESP8266, Arduino",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),0.8,AWS IoT Certification,3.47,3.82,2.09,2.49,3.23,2.98
C0154,IoT Engineer,"ESP32/ESP8266, Raspberry Pi, Sensor Integration, BLE (Bluetooth Low Energy), LoRaWAN, Arduino, Embedded C, MQTT Protocol, IoT Security, Data Telemetry and Analytics, Wi-Fi Protocols",M.Tech IoT and Sensor Systems,Mid-level (3-6 yrs),5.7,Cisco IoT Fundamentals,3.63,3.88,2.2,1.97,2.07,3.6
C0155,IoT Engineer,"Azure IoT Hub, ESP32/ESP8266, Device Provisioning, AWS IoT Core, Embedded C, IoT Security, Python, REST APIs, MQTT Protocol, Sensor Integration",B.Tech Information Technology,Senior (6-10 yrs),6.7,None,3.6,3.46,2.64,1.57,2.78,2.17
C0156,IoT Engineer,"AWS IoT Core, Azure IoT Hub, MQTT Protocol, Arduino, Data Telemetry and Analytics, Sensor Integration, CoAP Protocol, ESP32/ESP8266, Embedded C, Raspberry Pi, LoRaWAN",B.Tech Information Technology,Mid-level (3-6 yrs),5.0,None,3.95,4.6,2.53,1.85,3.83,3.07
C0157,IoT Engineer,"MQTT Protocol, Sensor Integration, CoAP Protocol, Azure IoT Hub, BLE (Bluetooth Low Energy), Zigbee, Wi-Fi Protocols, ESP32/ESP8266, Raspberry Pi, Embedded C, Data Telemetry and Analytics, IoT Security",B.Tech Information Technology,Senior (6-10 yrs),9.2,None,3.9,4.25,1.65,3.23,2.9,2.92
C0158,IoT Engineer,"Node-RED, Embedded C, MQTT Protocol, Sensor Integration, Data Telemetry and Analytics, Edge Computing, Arduino, ESP32/ESP8266, CoAP Protocol, IoT Security, Raspberry Pi",B.E. Computer Science Engineering,Senior (6-10 yrs),7.3,None,3.42,3.63,1.93,2.25,2.89,2.98
C0159,IoT Engineer,"Python, Node-RED, CoAP Protocol, Raspberry Pi, ESP32/ESP8266, Edge Computing, MQTT Protocol, Wi-Fi Protocols, Sensor Integration, Embedded C",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),0.9,None,3.66,4.73,2.23,2.54,2.91,2.88
C0160,IoT Engineer,"Device Provisioning, Node-RED, Sensor Integration, MQTT Protocol, ESP32/ESP8266, Zigbee, BLE (Bluetooth Low Energy), Azure IoT Hub, Edge Computing, REST APIs, Embedded C, IoT Security",B.E. Computer Science Engineering,Entry-level (0-1 yrs / Fresher),0.4,Cisco IoT Fundamentals,3.11,3.99,2.98,2.09,2.92,2.68
C0161,Web Developer,"CSS, HTML, Git, JavaScript, Vue.js, SQL, Django, Responsive Design, Bootstrap, MongoDB",B.Tech Information Technology,Junior (1-3 yrs),2.2,freeCodeCamp Full Stack,1.45,2.77,3.62,2.47,3.05,3.06
C0162,Web Developer,"CSS, JavaScript, MongoDB, Git, PHP, Django, TypeScript, HTML, Angular, Webpack, REST API Development, SQL",B.E./B.Tech Computer Science Engineering,Junior (1-3 yrs),1.5,None,2.4,3.54,3.29,2.11,2.86,2.84
C0163,Web Developer,"SQL, Responsive Design, CSS, HTML, JavaScript, REST API Development, Angular, Git, Bootstrap, Web Accessibility (WCAG), TypeScript, Node.js",MCA,Mid-level (3-6 yrs),5.9,Meta Front-End Developer Certificate,2.1,3.62,2.69,1.52,3.32,2.55
C0164,Web Developer,"Node.js, Git, PHP, HTML, MongoDB, Django, Express.js, SQL, CSS, JavaScript",MCA,Mid-level (3-6 yrs),4.7,None,2.21,4.26,3.65,2.02,2.91,3.06
C0165,Web Developer,"Git, Angular, Webpack, CSS, JavaScript, Express.js, HTML, Django, Bootstrap, Responsive Design",B.Sc. Computer Science,Junior (1-3 yrs),1.8,None,2.04,3.75,3.28,2.35,2.62,3.32
C0166,Web Developer,"Web Accessibility (WCAG), Bootstrap, CSS, REST API Development, Webpack, JavaScript, TypeScript, HTML, Angular, React, Git, Django",B.Sc. Computer Science,Mid-level (3-6 yrs),3.1,freeCodeCamp Full Stack,1.33,3.56,2.87,2.03,2.6,2.81
C0167,Web Developer,"Django, Git, JavaScript, Node.js, CSS, TypeScript, Vue.js, HTML",B.E./B.Tech Computer Science Engineering,Junior (1-3 yrs),2.1,None,1.23,2.85,3.2,1.77,2.45,3.19
