O*NET-SOC Code,Career,Essential_Skills,Software_Skills,Job_Description,Education_Level,Experience_Level,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Combined_Text
19-2043.00,Hydrologists,"Critical Thinking, Reading Comprehension, Active Listening, Science, Speaking, Mathematics, Writing, Active Learning, Monitoring, Learning Strategies","Advanced Logic Technology WellCAD, Amtec Engineering Tecplot, Argus ONE Open Numerical Environments, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk AutoCAD Map 3D, Autodesk Land Desktop, Bentley MicroStation, Bentley Systems gINT, Biodegration flow and transport modeling software, BOSS International Visual Groundwater, C++, Carlson SurvCADD, ChemStat, Clover Technology GALENA, Data visualization software, Database software, EarthSoft EQuIS Geology, EarthVision, Electric Rain Swift 3D","Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.",8.333333333333334,9.091818181818182,5.84,6.41,1.63,2.14,2.29,4.31,"Career: Hydrologists Skills: Critical Thinking, Reading Comprehension, Active Listening, Science, Speaking, Mathematics, Writing, Active Learning, Monitoring, Learning Strategies Software: Advanced Logic Technology WellCAD, Amtec Engineering Tecplot, Argus ONE Open Numerical Environments, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk AutoCAD Map 3D, Autodesk Land Desktop, Bentley MicroStation, Bentley Systems gINT, Biodegration flow and transport modeling software, BOSS International Visual Groundwater, C++, Carlson SurvCADD, ChemStat, Clover Technology GALENA, Data visualization software, Database software, EarthSoft EQuIS Geology, EarthVision, Electric Rain Swift 3D Description: Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere."
19-2099.01,Remote Sensing Scientists and Technologists,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Science, Mathematics, Active Learning, Monitoring, Learning Strategies","Adobe Creative Cloud software, Aeronautical charts, Agisoft Metashape, Airdata, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Simple Storage Service S3, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software, Apache Hadoop, Apache Hive, Apache HTTP Server, Apache Kafka, ArduPilot Mission Planner, Atlassian JIRA, BAE Systems SOCET GXP, Bash, C","Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.",8.333333333333334,9.090909090909092,4.86,6.09,1.93,1.27,1.44,4.81,"Career: Remote Sensing Scientists and Technologists Skills: Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Science, Mathematics, Active Learning, Monitoring, Learning Strategies Software: Adobe Creative Cloud software, Aeronautical charts, Agisoft Metashape, Airdata, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Simple Storage Service S3, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software, Apache Hadoop, Apache Hive, Apache HTTP Server, Apache Kafka, ArduPilot Mission Planner, Atlassian JIRA, BAE Systems SOCET GXP, Bash, C Description: Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems."
19-3011.00,Economists,"Reading Comprehension, Mathematics, Critical Thinking, Active Listening, Writing, Speaking, Active Learning, Learning Strategies, Monitoring, Science","Aptech Systems GAUSS, C++, Camfit Data Limited Microfit, Corel QuattroPro, Corel WordPerfect Office Suite, Econometric Software LIMDEP, ESRI ArcView, Estima Regression Analysis of Time Series RATS, Estimates Delivery System EDS, Formula translation/translator FORTRAN, Global Insight AREMOS, IBM Lotus 1-2-3, IBM SPSS Statistics, Insightful S-PLUS, LaTeX, MacKichan Software Scientific Notebook, Maplesoft Maple, Mathsoft Mathcad, MediaWiki, Microsoft Access","Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",8.333333333333334,9.090909090909092,1.35,7.0,2.43,2.4,3.93,4.53,"Career: Economists Skills: Reading Comprehension, Mathematics, Critical Thinking, Active Listening, Writing, Speaking, Active Learning, Learning Strategies, Monitoring, Science Software: Aptech Systems GAUSS, C++, Camfit Data Limited Microfit, Corel QuattroPro, Corel WordPerfect Office Suite, Econometric Software LIMDEP, ESRI ArcView, Estima Regression Analysis of Time Series RATS, Estimates Delivery System EDS, Formula translation/translator FORTRAN, Global Insight AREMOS, IBM Lotus 1-2-3, IBM SPSS Statistics, Insightful S-PLUS, LaTeX, MacKichan Software Scientific Notebook, Maplesoft Maple, Mathsoft Mathcad, MediaWiki, Microsoft Access Description: Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods."
19-3011.01,Environmental Economists,"Writing, Reading Comprehension, Active Listening, Mathematics, Critical Thinking, Active Learning, Speaking, Monitoring, Learning Strategies, Science","Aptech Systems GAUSS, C, C#, C++, Camfit Data Limited Microfit, Econometric Software LIMDEP, ESRI ArcGIS software, Estima Regression Analysis of Time Series RATS, Formula translation/translator FORTRAN, General algebraic modeling system GAMS, Geographic information system GIS software, Global Insight AREMOS, IBM SPSS Statistics, Insightful S-PLUS, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server","Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.",8.3325,9.090909090909092,2.74,7.0,2.53,2.28,4.11,4.08,"Career: Environmental Economists Skills: Writing, Reading Comprehension, Active Listening, Mathematics, Critical Thinking, Active Learning, Speaking, Monitoring, Learning Strategies, Science Software: Aptech Systems GAUSS, C, C#, C++, Camfit Data Limited Microfit, Econometric Software LIMDEP, ESRI ArcGIS software, Estima Regression Analysis of Time Series RATS, Formula translation/translator FORTRAN, General algebraic modeling system GAMS, Geographic information system GIS software, Global Insight AREMOS, IBM SPSS Statistics, Insightful S-PLUS, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server Description: Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques."
19-3022.00,Survey Researchers,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Mathematics, Active Learning, Learning Strategies, Monitoring, Science","Acarda CallAssist, Acarda ForbiddenCalls, Adobe ColdFusion, Apian SurveyPro, Argus Perceptual Mapper, Askia Design, Askia Vista, Askia Web, Askiaanalyse, Askiaface, Askiavoice, C++, CfMC COSI, CfMC SoundSurvent, COMCON DataFriend, Computer assisted telephone interviewing CATI software, Creative Research Survey System, Database software, DATAN Merlin Fastab, Dataxiom StatMost","Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",8.334166666666667,9.090909090909092,1.68,6.11,2.31,2.34,3.02,5.25,"Career: Survey Researchers Skills: Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Mathematics, Active Learning, Learning Strategies, Monitoring, Science Software: Acarda CallAssist, Acarda ForbiddenCalls, Adobe ColdFusion, Apian SurveyPro, Argus Perceptual Mapper, Askia Design, Askia Vista, Askia Web, Askiaanalyse, Askiaface, Askiavoice, C++, CfMC COSI, CfMC SoundSurvent, COMCON DataFriend, Computer assisted telephone interviewing CATI software, Creative Research Survey System, Database software, DATAN Merlin Fastab, Dataxiom StatMost Description: Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams."
19-3032.00,Industrial-Organizational Psychologists,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Monitoring, Science, Learning Strategies, Mathematics","Adobe Acrobat, Assessment Systems Corporation XCALIBRE, Google Sheets, Human resource information system (HRIS), Hypertext markup language HTML, IBM SPSS Statistics, Learning management system LMS, Mentimeter, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Muthen & Muthen Mplus, Oracle PeopleSoft, Padlet, Psychometric testing software","Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",8.334166666666667,9.090909090909092,1.05,5.34,3.13,3.99,4.71,4.28,"Career: Industrial-Organizational Psychologists Skills: Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Monitoring, Science, Learning Strategies, Mathematics Software: Adobe Acrobat, Assessment Systems Corporation XCALIBRE, Google Sheets, Human resource information system (HRIS), Hypertext markup language HTML, IBM SPSS Statistics, Learning management system LMS, Mentimeter, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Muthen & Muthen Mplus, Oracle PeopleSoft, Padlet, Psychometric testing software Description: Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."
19-3033.00,Clinical and Counseling Psychologists,"Reading Comprehension, Active Listening, Writing, Critical Thinking, Speaking, Active Learning, Monitoring, Learning Strategies, Science, Mathematics","Addison Health Systems WritePad EHR, Anasazi Software Client Data System, Athena Software Penelope Case Management, B Sharp Technologies B Care, BlackHawk Canyon Publishers PracticianWorks, Blueberry Harbor Software Clinical Record Keeper, Bluewater Management Systems BMCASE, BRB Software HorizonMIS, Clinivate Clinitrak, Comprehensive Affect Testing System CATS, Core Solutions Care Enterprise, DocuTrac QuicDoc, eClinicalWorks EHR software, Fagerman Technologies MedLook, Google Docs, Google Meet, Google Sheets, Health Care Software HCS INTERACTANT, Healthcare common procedure coding system HCPCS, ICANotes","Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",8.333333333333334,9.090909090909092,1.05,5.58,3.06,6.57,2.65,3.49,"Career: Clinical and Counseling Psychologists Skills: Reading Comprehension, Active Listening, Writing, Critical Thinking, Speaking, Active Learning, Monitoring, Learning Strategies, Science, Mathematics Software: Addison Health Systems WritePad EHR, Anasazi Software Client Data System, Athena Software Penelope Case Management, B Sharp Technologies B Care, BlackHawk Canyon Publishers PracticianWorks, Blueberry Harbor Software Clinical Record Keeper, Bluewater Management Systems BMCASE, BRB Software HorizonMIS, Clinivate Clinitrak, Comprehensive Affect Testing System CATS, Core Solutions Care Enterprise, DocuTrac QuicDoc, eClinicalWorks EHR software, Fagerman Technologies MedLook, Google Docs, Google Meet, Google Sheets, Health Care Software HCS INTERACTANT, Healthcare common procedure coding system HCPCS, ICANotes Description: Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients."
19-3034.00,School Psychologists,"Active Listening, Reading Comprehension, Speaking, Writing, Critical Thinking, Monitoring, Active Learning, Learning Strategies, Mathematics, Science","Centris Group IEP Direct, Centris Group RTIm Direct, Chalkware Education Solutions IEPPro, Email software, Ewing Solutions QuickWriter, Global Education Technologies EXCENT, Google Meet, Instructional software, MediaNet Solutions e-IEP PRO, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Oasys structural design and analysis software, PowerSchool Group PowerSchool SIS, Psychsoft !Observe, Smart Solutions IEP Anywhere, Spectrum K12 School Solutions Encore, SpED Forms, SunGard Pentamation IEPplus","Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",8.333333333333334,9.091818181818182,1.0,5.0,3.31,6.77,2.82,4.01,"Career: School Psychologists Skills: Active Listening, Reading Comprehension, Speaking, Writing, Critical Thinking, Monitoring, Active Learning, Learning Strategies, Mathematics, Science Software: Centris Group IEP Direct, Centris Group RTIm Direct, Chalkware Education Solutions IEPPro, Email software, Ewing Solutions QuickWriter, Global Education Technologies EXCENT, Google Meet, Instructional software, MediaNet Solutions e-IEP PRO, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Oasys structural design and analysis software, PowerSchool Group PowerSchool SIS, Psychsoft !Observe, Smart Solutions IEP Anywhere, Spectrum K12 School Solutions Encore, SpED Forms, SunGard Pentamation IEPplus Description: Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel."
19-3039.02,Neuropsychologists,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Science, Monitoring, Learning Strategies, Mathematics","Automated Neuropsychological Metric Assessments Battery, Behavioral Assessment and Research System BARS, BrainMetric The Category Test, BrainTrain Captain's Log, CogniSyst Computerized Assessment of Response Bias CARB, Conners' Continuous Performance Test II, Database software, Email software, IBM SPSS Statistics, Interactive psychological evaluation software, MicroCog Assessment of Cognitive Functioning, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Noldus Information Technology The Observer XT, Operational Data Store ODS software, Patient electronic medical record EMR software, Psychological testing software, Scheduling software","Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.",8.333333333333334,9.090909090909092,2.63,7.0,3.28,5.29,1.69,3.32,"Career: Neuropsychologists Skills: Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Science, Monitoring, Learning Strategies, Mathematics Software: Automated Neuropsychological Metric Assessments Battery, Behavioral Assessment and Research System BARS, BrainMetric The Category Test, BrainTrain Captain's Log, CogniSyst Computerized Assessment of Response Bias CARB, Conners' Continuous Performance Test II, Database software, Email software, IBM SPSS Statistics, Interactive psychological evaluation software, MicroCog Assessment of Cognitive Functioning, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Noldus Information Technology The Observer XT, Operational Data Store ODS software, Patient electronic medical record EMR software, Psychological testing software, Scheduling software Description: Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment."
19-3039.03,Clinical Neuropsychologists,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing, Active Learning, Monitoring, Learning Strategies, Mathematics, Science","Automated Neuropsychological Metric Assessments Battery, Behavioral Assessment and Research System BARS, BrainMetric The Category Test, BrainTrain Captain's Log, CogniSyst Computerized Assessment of Response Bias CARB, Conners' Continuous Performance Test II, Database software, Email software, IBM SPSS Statistics, Interactive psychological evaluation software, MicroCog Assessment of Cognitive Functioning, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Noldus Information Technology The Observer XT, Patient electronic medical record EMR software, Psychological testing software, Scheduling software, Statistical software","Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.",8.333333333333334,9.091818181818182,2.82,7.0,2.4,5.69,2.07,3.49,"Career: Clinical Neuropsychologists Skills: Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing, Active Learning, Monitoring, Learning Strategies, Mathematics, Science Software: Automated Neuropsychological Metric Assessments Battery, Behavioral Assessment and Research System BARS, BrainMetric The Category Test, BrainTrain Captain's Log, CogniSyst Computerized Assessment of Response Bias CARB, Conners' Continuous Performance Test II, Database software, Email software, IBM SPSS Statistics, Interactive psychological evaluation software, MicroCog Assessment of Cognitive Functioning, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Noldus Information Technology The Observer XT, Patient electronic medical record EMR software, Psychological testing software, Scheduling software, Statistical software Description: Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation."
19-3041.00,Sociologists,"Active Listening, Speaking, Reading Comprehension, Writing, Critical Thinking, Active Learning, Learning Strategies, Monitoring, Science, Mathematics","Adobe Acrobat, Adobe Dreamweaver, Adobe Photoshop, ATLAS.ti, Circle Systems Stat/Transfer, Data visualization software, Database management system DBMS, Email software, ESRI ArcGIS software, Facebook, Fund accounting software, Helios TextPad, IBM SPSS Statistics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Publisher","Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.",8.333333333333334,9.091818181818182,1.56,6.5,3.99,4.36,3.08,3.6,"Career: Sociologists Skills: Active Listening, Speaking, Reading Comprehension, Writing, Critical Thinking, Active Learning, Learning Strategies, Monitoring, Science, Mathematics Software: Adobe Acrobat, Adobe Dreamweaver, Adobe Photoshop, ATLAS.ti, Circle Systems Stat/Transfer, Data visualization software, Database management system DBMS, Email software, ESRI ArcGIS software, Facebook, Fund accounting software, Helios TextPad, IBM SPSS Statistics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Publisher Description: Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members."
19-3051.00,Urban and Regional Planners,"Active Listening, Speaking, Reading Comprehension, Critical Thinking, Writing, Active Learning, Mathematics, Learning Strategies, Monitoring, Science","3D urban simulation modeling software, Accela KIVA DMS, Accela PERMITS Plus, Accela Tidemark Advantage, Adobe Acrobat, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe FreeHand MX, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Autodesk 3ds Max Design, Autodesk AutoCAD, Autodesk AutoCAD Map 3D, Bentley MicroStation, Caliper TransCAD, Citilabs TRANPLAN, CommunityViz, Corel CorelDraw Graphics Suite","Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas.",8.333333333333334,9.090909090909092,3.22,5.31,3.06,3.03,4.46,3.96,"Career: Urban and Regional Planners Skills: Active Listening, Speaking, Reading Comprehension, Critical Thinking, Writing, Active Learning, Mathematics, Learning Strategies, Monitoring, Science Software: 3D urban simulation modeling software, Accela KIVA DMS, Accela PERMITS Plus, Accela Tidemark Advantage, Adobe Acrobat, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe FreeHand MX, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Autodesk 3ds Max Design, Autodesk AutoCAD, Autodesk AutoCAD Map 3D, Bentley MicroStation, Caliper TransCAD, Citilabs TRANPLAN, CommunityViz, Corel CorelDraw Graphics Suite Description: Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas."
19-3091.00,Anthropologists and Archeologists,"Writing, Speaking, Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Monitoring, Learning Strategies, Science, Mathematics","Adobe Acrobat, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Age progression software, Apple Final Cut Express, Apple iMovie, Applied Biosystems GeneMapper, Archeological Sites Management Information System ASMIS, Autodesk AutoCAD, Automated National Catalog System ANCS, C++, Data visualization software, ESRI ArcGIS software, ESRI ArcGIS Survey 123, ESRI ArcInfo, ESRI ArcView, Facebook","Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations.",8.333333333333334,9.090909090909092,3.99,6.84,4.21,3.67,1.63,3.19,"Career: Anthropologists and Archeologists Skills: Writing, Speaking, Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Monitoring, Learning Strategies, Science, Mathematics Software: Adobe Acrobat, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Age progression software, Apple Final Cut Express, Apple iMovie, Applied Biosystems GeneMapper, Archeological Sites Management Information System ASMIS, Autodesk AutoCAD, Automated National Catalog System ANCS, C++, Data visualization software, ESRI ArcGIS software, ESRI ArcGIS Survey 123, ESRI ArcInfo, ESRI ArcView, Facebook Description: Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations."
19-3092.00,Geographers,"Reading Comprehension, Writing, Speaking, Critical Thinking, Active Listening, Active Learning, Science, Learning Strategies, Mathematics, Monitoring","ACD Systems Canvas, Adobe Dreamweaver, Adobe Photoshop, Autodesk AutoCAD, Caliper Maptitude, Clark Labs IDRISI Andes, Corel CorelDraw Graphics Suite, ESRI ArcGIS software, ESRI ArcIMS, ESRI ArcInfo, ESRI ArcView, Geographic information system GIS software, Geographic information system GIS systems, Geographic resources analysis support system GRASS, Golden Software Grapher, Golden Software Surfer, Google Earth Pro, Groundwater Vistas, HydroSOLVE AQTESOLV, IBM SPSS Statistics","Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.",8.333333333333334,9.090909090909092,5.11,6.74,3.69,2.72,2.1,3.69,"Career: Geographers Skills: Reading Comprehension, Writing, Speaking, Critical Thinking, Active Listening, Active Learning, Science, Learning Strategies, Mathematics, Monitoring Software: ACD Systems Canvas, Adobe Dreamweaver, Adobe Photoshop, Autodesk AutoCAD, Caliper Maptitude, Clark Labs IDRISI Andes, Corel CorelDraw Graphics Suite, ESRI ArcGIS software, ESRI ArcIMS, ESRI ArcInfo, ESRI ArcView, Geographic information system GIS software, Geographic information system GIS systems, Geographic resources analysis support system GRASS, Golden Software Grapher, Golden Software Surfer, Google Earth Pro, Groundwater Vistas, HydroSOLVE AQTESOLV, IBM SPSS Statistics Description: Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global."
19-3093.00,Historians,"Reading Comprehension, Writing, Critical Thinking, Active Listening, Speaking, Active Learning, Learning Strategies, Monitoring, Science, Mathematics","Adobe Acrobat, Adobe Dreamweaver, Adobe InDesign, Adobe Photoshop, Archival databases, ArchiveGrid, Archives Wiki, Audio editing software, Corel WordPerfect Office Suite, Database management systems, Digital image collections, Digital mapping software, Email software, ESRI ArcGIS software, Extensible markup language XML, Geographic information system GIS software, Geographic information system GIS systems, Google Books NGram Viewer, Gutenberg-e, IBM SPSS Statistics","Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.",8.333333333333334,9.090909090909092,2.39,5.32,3.7,3.22,2.35,4.87,"Career: Historians Skills: Reading Comprehension, Writing, Critical Thinking, Active Listening, Speaking, Active Learning, Learning Strategies, Monitoring, Science, Mathematics Software: Adobe Acrobat, Adobe Dreamweaver, Adobe InDesign, Adobe Photoshop, Archival databases, ArchiveGrid, Archives Wiki, Audio editing software, Corel WordPerfect Office Suite, Database management systems, Digital image collections, Digital mapping software, Email software, ESRI ArcGIS software, Extensible markup language XML, Geographic information system GIS software, Geographic information system GIS systems, Google Books NGram Viewer, Gutenberg-e, IBM SPSS Statistics Description: Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters."
19-3094.00,Political Scientists,"Reading Comprehension, Active Listening, Speaking, Active Learning, Writing, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science","Adobe Acrobat, Bare Bones Software BBEdit, CQ Press Political Reference Suite, Data visualization software, DataMystic TextPipe Pro, EBSCO Publishing Academic Search Premier, EBSCO Publishing Political Science Complete, Email software, Europa World Plus, FedStats, Gale Expanded Academic ASAP PLUS, IBM SPSS Statistics, IDM Computer Solutions UltraEdit, Interuniversity Consortium for Political and Social Research (ICPSR) database, JSTOR database, JudgeIt II, Library of Congress E-resources Online Catalog, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel","Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents.",8.333333333333332,9.090909090909092,1.0,6.71,3.87,3.42,3.61,3.52,"Career: Political Scientists Skills: Reading Comprehension, Active Listening, Speaking, Active Learning, Writing, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science Software: Adobe Acrobat, Bare Bones Software BBEdit, CQ Press Political Reference Suite, Data visualization software, DataMystic TextPipe Pro, EBSCO Publishing Academic Search Premier, EBSCO Publishing Political Science Complete, Email software, Europa World Plus, FedStats, Gale Expanded Academic ASAP PLUS, IBM SPSS Statistics, IDM Computer Solutions UltraEdit, Interuniversity Consortium for Political and Social Research (ICPSR) database, JSTOR database, JudgeIt II, Library of Congress E-resources Online Catalog, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel Description: Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents."
